Code,Description
"1","Alaska"
"2","Hawaii"
"3","Puerto Rico"
"4","U.S. Virgin Islands"
"5","U.S. Pacific Trust Territories And Possessions"
"10","U.S.A. (Including Territories And Possessions)"
"11","Connecticut"
"12","Maine"
"13","Massachusetts"
"14","New Hampshire"
"15","Rhode Island"
"16","Vermont"
"21","New Jersey"
"22","New York"
"23","Pennsylvania"
"31","Delaware"
"32","District of Columbia"
"33","Florida"
"34","Georgia"
"35","Maryland"
"36","North Carolina"
"37","South Carolina"
"38","Virginia"
"39","West Virginia"
"41","Illinois"
"42","Indiana"
"43","Michigan"
"44","Ohio"
"45","Wisconsin"
"51","Alabama"
"52","Kentucky"
"53","Mississippi"
"54","Tennessee"
"61","Iowa"
"62","Kansas"
"63","Minnesota"
"64","Missouri"
"65","Nebraska"
"66","North Dakota"
"67","South Dakota"
"71","Arkansas"
"72","Louisiana"
"73","Oklahoma"
"74","Texas"
"81","Arizona"
"82","Colorado"
"83","Idaho"
"84","Montana"
"85","Nevada"
"86","New Mexico"
"87","Utah"
"88","Wyoming"
"91","California"
"92","Oregon"
"93","Washington"
"106","Belize"
"110","Costa Rica"
"118","El Salvador"
"127","Guatemala"
"131","Honduras"
"148","Mexico"
"153","Nicaragua"
"160","Panama Canal Zone"
"162","Panama Republic"
"174","San Andres Island"
"202","Anguilla"
"204","Bahamas"
"205","Barbados"
"206","Antigua and Barbuda"
"207","Bermuda-UK"
"209","Carriacou"
"210","Cayman Brac"
"219","Cuba"
"221","Dominica"
"224","Dominican Republic"
"233","Cayman Islands"
"234","Grand Turk"
"235","Guadeloupe-France"
"236","St. Martin - France"
"237","St. Barthelemy - France"
"238","Haiti"
"243","Jamaica"
"252","Martinique-France"
"256","Montserrat"
"257","Mustique"
"259","Netherlands Antilles"
"261","Nevis"
"266","Palm Island"
"267","Providenciales"
"268","Puerto Rico"
"273","Grenada and South Grenadines"
"274","Antigua"
"275","St. Kitts and Nevis"
"276","St. Lucia"
"277","Aruba"
"279","St. Vincent and North Grenadines"
"280","Trinidad and Tobago"
"281","Turks and Caicos Islands-UK"
"282","British Virgin Islands-UK"
"283","U.S. Virgin Islands"
"303","Argentina"
"312","Bolivia"
"316","Brazil"
"324","Chile"
"327","Colombia"
"337","Ecuador"
"340","Falkland Islands-UK"
"344","French Guiana-France"
"350","Guyana"
"365","Paraguay"
"368","Peru"
"379","Surinam"
"385","Uruguay"
"388","Venezuela"
"401","Albania"
"402","Andorra"
"403","Austria"
"405","Armenia"
"407","Azerbaijan"
"409","Belgium"
"410","Bosnia and Herzegovina"
"411","Bulgaria"
"413","Belarus"
"415","Croatia"
"416","Cyprus"
"417","Czechoslovakia"
"418","Czech Republic"
"419","Denmark"
"422","Estonia"
"425","Finland"
"427","France"
"428","East Germany"
"429","Germany"
"430","Berlin"
"431","Gibraltar-UK"
"432","Georgia"
"433","Greece"
"437","Hungary"
"439","Iceland"
"441","Ireland"
"450","Italy"
"451","Latvia"
"452","Lithuania"
"453","Liechtenstein"
"454","Luxembourg"
"455","Macedonia"
"456","Malta"
"457","Moldova"
"458","Monaco"
"459","Montenegro"
"461","Netherlands"
"465","Norway"
"467","Poland"
"469","Portugal"
"473","Romania"
"475","Russia (European)"
"477","Serbia and Montenegro"
"479","San Marino"
"480","Serbia"
"481","Slovenia"
"482","Spain"
"483","Slovakia"
"484","Sweden"
"486","Switzerland"
"488","Ukraine"
"489","U.S.S.R. (European)"
"493","United Kingdom"
"494","Kosovo"
"497","Yugoslavia"
"500","Algeria"
"502","Angola"
"503","Burundi"
"504","Cameroons"
"506","Canary Island"
"507","Cape Verde Islands"
"509","Central African Republic"
"510","Botswana"
"511","Chad"
"513","Comoro Islands"
"515","Congo"
"517","Republic Of Congo"
"519","Benin (Dahomey)"
"521","Equatorial Guinea"
"522","Ethiopia"
"523","Eritrea"
"525","Djibouti"
"526","Gabon"
"527","The Gambia"
"529","Ghana"
"531","Guinea"
"532","Infini-Morocco"
"533","Cote d Ivoire (formerly Ivory Coast)"
"535","Kenya"
"536","Lesotho"
"537","Liberia"
"538","Libya"
"540","Madeira Islands"
"541","Madagascar"
"542","Malawi"
"543","Mali"
"545","Mauritania"
"546","Mauritius"
"547","Mayotte-France"
"548","Morocco"
"550","Mozambique"
"554","Niger"
"555","Nigeria"
"559","Guinea Bissau"
"561","Principe Island"
"562","Republic Of South Africa"
"563","Reunion Island-France"
"565","Zimbabwe"
"566","Rwanda"
"567","Sao Tome and Principe"
"568","Rodrigues Islands-Mauritius"
"569","Senegal"
"570","Seychelles Islands"
"571","Sierra Leone"
"573","Somalia"
"575","Namibia"
"580","St. Helena"
"582","Swaziland"
"583","Sudan"
"585","Tanzania"
"586","Togo"
"588","Tunisia"
"590","Uganda"
"591","Arab Republic Of Egypt"
"593","Burkina Faso"
"594","Upper Volta"
"597","Zambia"
"599","Rhodesia"
"605","Bahrain Island"
"611","Cyprus"
"632","Iran"
"634","Iraq"
"636","Israel"
"639","Jordan"
"644","Kuwait"
"647","Lebanon"
"658","Oman"
"664","Qatar"
"667","People's Democratic Republic Of Yemen"
"670","Saudi Arabia"
"676","Syrian Arab Republic"
"678","United Arab Emirates"
"679","Turkey"
"694","Yemen"
"701","Afghanistan"
"702","Bhutan"
"703","Bangladesh"
"704","Brunei"
"705","Bonin Islands"
"706","Myanmar"
"707","British Indian Ocean Territory-UK"
"709","Democratic Kampuchea (Cambodia)"
"711","Sri Lanka"
"713","China"
"729","Hong Kong-China"
"733","India"
"736","Japan"
"738","Kazakhstan"
"743","Kyrgyzstan"
"744","Laos"
"747","Macau"
"749","Malaysia"
"750","Maldives"
"751","Mongolia"
"755","Nepal"
"757","North Korea"
"759","North Vietnam"
"761","Okinawa/Ryukyu Islands"
"764","Pakistan"
"766","Philippines"
"770","Russia (Asian)"
"772","Sabah, Malaysia"
"773","Sarawak, Malaysia"
"776","Singapore"
"778","South Korea"
"780","South Vietnam"
"781","Taiwan"
"782","Thailand"
"783","Tajikistan"
"785","Turkmenistan"
"786","U.S.S.R. (Asian)"
"788","Uzbekistan"
"791","Vietnam"
"800","American Samoa"
"801","Antarctica"
"802","Australia"
"803","Christmas Island-Australia"
"804","Papua New Guinea"
"807","Canton Island"
"809","Palau Island"
"810","Micronesia"
"812","Cocos Islands-Australia"
"813","Cook Islands-New Zealand"
"817","Tuvalu-UK"
"821","Fiji Islands"
"823","French Polynesia"
"824","Kiribati (Gilbert and Canton Islands)"
"826","Guam"
"832","Indonesia"
"834","Johnston Island"
"840","Loyalty Islands-France"
"841","Commonwealth Of Northern Mariana Islands"
"842","Wake Island"
"843","Marshall Islands"
"844","Marshall Islands"
"845","Nauru"
"846","New Caledonia - France"
"849","New Hebrides"
"851","New Zealand"
"852","Niue-New Zealand"
"853","Norfolk Island"
"854","Palau"
"861","Portuguese Timor"
"862","East Timor-Indonesia"
"874","Solomon Islands"
"881","Tonga"
"885","Vanuatu"
"888","Wake Island"
"890","Wallis and Futuna Islands-France"
"891","West Irian-Indonesia"
"892","Western Samoa"
"900","Canada"
"906","British Columbia, Canada"
"911","Yukon Territory, Canada"
"916","Alberta,Canada"
"921","Saskatchewan, Canada"
"926","Manitoba, Canada"
"931","Northwest Territories, Canada"
"934","Nunavut Territory, Canada"
"936","Ontario,Canada"
"941","Quebec, Canada"
"946","New Brunswick, Canada"
"951","Nova Scotia, Canada"
"956","Prince Edward Island, Canada"
"961","Newfoundland and Labrador, Canada"
"975","Greenland - Denmark"
"977","St. Pierre Et Miquelon-France"
"999","Unknown Country"
